structure_class,structure_classification,design_strength,height,natural_elastic_period,fraction_in_first_mode,height_to_displacement,yield_to_design,ultimate_to_yield,ductility,damping_s,damping_m,damping_l,damping_Be,structural_damage_slight,structural_damage_moderate,structural_damage_extreme,structural_damage_complete
BUILDING,W1,0.20000000,14.00000000,0.20000000,0.80000000,0.80000000,1.50000000,2.50000000,4.00000000,0.01000000,0.01000000,0.01000000,0.15000000,0.00100000,0.00800000,0.01500000,0.03000000
BUILDING,W2,0.05000000,24.00000000,0.40000000,0.75000000,0.75000000,1.50000000,2.50000000,6.00000000,0.40000000,0.20000000,0.00000000,0.15000000,0.00320000,0.00790000,0.02450000,0.06000000
BUILDING,S1L,0.03300000,24.00000000,0.50000000,0.80000000,0.75000000,1.50000000,3.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00480000,0.00760000,0.01620000,0.04000000
BUILDING,S1M,0.02500000,60.00000000,1.08000000,0.80000000,0.75000000,1.25000000,3.00000000,3.30000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00320000,0.00510000,0.01080000,0.02670000
BUILDING,S1H,0.01700000,156.00000000,2.21000000,0.75000000,0.60000000,1.10000000,3.00000000,2.50000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00240000,0.00380000,0.00810000,0.02000000
BUILDING,S2L,0.05000000,24.00000000,0.40000000,0.75000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00400000,0.00640000,0.01600000,0.04000000
BUILDING,S2M,0.05000000,60.00000000,0.86000000,0.75000000,0.75000000,1.25000000,2.00000000,3.30000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00270000,0.00430000,0.01070000,0.02670000
BUILDING,S2H,0.03800000,156.00000000,1.77000000,0.65000000,0.60000000,1.10000000,2.00000000,2.50000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00200000,0.00320000,0.00080000,0.02000000
BUILDING,S3,0.05000000,15.00000000,0.40000000,0.75000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00320000,0.00510000,0.01280000,0.03500000
BUILDING,S4L,0.04000000,24.00000000,0.35000000,0.75000000,0.75000000,1.50000000,2.25000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00320000,0.00510000,0.01280000,0.03500000
BUILDING,S4M,0.04000000,60.00000000,0.65000000,0.75000000,0.75000000,1.25000000,2.25000000,3.30000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00210000,0.00340000,0.00860000,0.02330000
BUILDING,S4H,0.03000000,156.00000000,1.32000000,0.65000000,0.60000000,1.10000000,2.25000000,2.50000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00160000,0.00260000,0.00640000,0.01750000
BUILDING,S5L,0.05000000,24.00000000,0.35000000,0.75000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00240000,0.00480000,0.01200000,0.02800000
BUILDING,S5M,0.05000000,60.00000000,0.65000000,0.75000000,0.75000000,1.25000000,2.00000000,3.30000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00160000,0.00320000,0.00800000,0.01870000
BUILDING,S5H,0.03800000,156.00000000,1.32000000,0.65000000,0.60000000,1.10000000,2.00000000,2.50000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00120000,0.00240000,0.00600000,0.01400000
BUILDING,C1L,0.10000000,20.00000000,0.40000000,0.80000000,0.75000000,1.50000000,1.50000000,2.00000000,0.01000000,0.01000000,0.01000000,0.07000000,0.00400000,0.00450000,0.01000000,0.03000000
BUILDING,C1M,0.10000000,50.00000000,0.75000000,0.80000000,0.75000000,1.50000000,1.50000000,2.00000000,0.01000000,0.01000000,0.01000000,0.07000000,0.00400000,0.00450000,0.01000000,0.03000000
BUILDING,C1H,0.10000000,120.00000000,1.45000000,0.75000000,0.60000000,1.50000000,1.50000000,2.00000000,0.01000000,0.01000000,0.01000000,0.07000000,0.00400000,0.00450000,0.01000000,0.03000000
BUILDING,C2L,0.05000000,20.00000000,0.35000000,0.75000000,0.75000000,1.50000000,2.50000000,5.00000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00320000,0.00610000,0.01580000,0.04000000
BUILDING,C2M,0.05000000,50.00000000,0.56000000,0.75000000,0.75000000,1.25000000,2.50000000,3.30000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00210000,0.00410000,0.01050000,0.02670000
BUILDING,C2H,0.03800000,120.00000000,1.09000000,0.65000000,0.60000000,1.10000000,2.50000000,2.50000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00160000,0.00310000,0.00790000,0.02000000
BUILDING,C3L,0.05000000,20.00000000,0.35000000,0.75000000,0.75000000,1.50000000,2.25000000,5.00000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00240000,0.00480000,0.01200000,0.02800000
BUILDING,C3M,0.05000000,50.00000000,0.56000000,0.75000000,0.75000000,1.25000000,2.25000000,3.30000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00160000,0.00320000,0.00800000,0.01870000
BUILDING,C3H,0.03800000,120.00000000,1.09000000,0.65000000,0.60000000,1.10000000,2.25000000,2.50000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00120000,0.00240000,0.00600000,0.01400000
BUILDING,PC1,0.05000000,15.00000000,0.35000000,0.50000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.05000000,0.00320000,0.00510000,0.01280000,0.03500000
BUILDING,PC2L,0.05000000,20.00000000,0.35000000,0.75000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.05000000,0.00320000,0.00510000,0.01280000,0.03500000
BUILDING,PC2M,0.05000000,50.00000000,0.56000000,0.75000000,0.75000000,1.25000000,2.00000000,3.30000000,0.40000000,0.20000000,0.00000000,0.05000000,0.00210000,0.00340000,0.00860000,0.02330000
BUILDING,PC2H,0.03800000,120.00000000,1.09000000,0.65000000,0.60000000,1.10000000,2.00000000,2.50000000,0.40000000,0.20000000,0.00000000,0.05000000,0.00160000,0.00260000,0.00640000,0.01750000
BUILDING,RM1L,0.06700000,20.00000000,0.35000000,0.75000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00320000,0.00510000,0.01280000,0.03500000
BUILDING,RM1M,0.06700000,50.00000000,0.56000000,0.75000000,0.75000000,1.25000000,2.00000000,3.30000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00210000,0.00340000,0.00860000,0.02330000
BUILDING,RM2L,0.06700000,20.00000000,0.35000000,0.75000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00320000,0.00510000,0.01280000,0.03500000
BUILDING,RM2M,0.06700000,50.00000000,0.56000000,0.75000000,0.75000000,1.25000000,2.00000000,3.30000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00210000,0.00340000,0.00860000,0.02330000
BUILDING,RM2H,0.05000000,120.00000000,1.09000000,0.65000000,0.60000000,1.10000000,2.00000000,2.50000000,0.40000000,0.20000000,0.00000000,0.07000000,0.00160000,0.00260000,0.00640000,0.01750000
BUILDING,URML,0.15000000,15.00000000,0.10000000,0.75000000,0.75000000,1.00000000,1.50000000,1.50000000,0.01000000,0.01000000,0.01000000,0.05000000,0.00100000,0.00800000,0.01500000,0.03000000
BUILDING,URMM,0.15000000,35.00000000,0.30000000,0.75000000,0.60000000,1.25000000,1.50000000,2.00000000,0.01000000,0.01000000,0.01000000,0.05000000,0.00100000,0.00800000,0.01500000,0.03000000
BUILDING,MH,0.10000000,10.00000000,0.35000000,1.00000000,1.00000000,1.50000000,2.00000000,6.00000000,0.60000000,0.30000000,0.10000000,0.05000000,0.00320000,0.00640000,0.01920000,0.05600000
BUILDING,W1MEAN,0.07700000,13.00000000,0.27500000,0.90000000,0.70000000,1.75000000,2.00000000,7.00000000,0.00100000,0.00100000,0.00100000,0.08000000,0.00100000,0.00400000,0.00800000,0.01500000
BUILDING,W1BVTILE,0.06300000,13.00000000,0.32000000,0.90000000,0.70000000,1.75000000,2.00000000,7.00000000,0.00100000,0.00100000,0.00100000,0.08000000,0.00050000,0.00100000,0.00200000,0.00500000
BUILDING,W1BVMETAL,0.08200000,13.00000000,0.28000000,0.90000000,0.70000000,1.75000000,2.00000000,7.00000000,0.00100000,0.00100000,0.00100000,0.08000000,0.00050000,0.00100000,0.00200000,0.00500000
BUILDING,W1TIMBERTILE,0.06900000,13.00000000,0.30000000,0.90000000,0.70000000,1.75000000,2.00000000,7.00000000,0.00100000,0.00100000,0.00100000,0.08000000,0.00200000,0.00800000,0.01500000,0.04000000
BUILDING,W1TIMBERMETAL,0.09400000,13.00000000,0.26000000,0.90000000,0.70000000,1.75000000,2.00000000,7.00000000,0.00100000,0.00100000,0.00100000,0.08000000,0.00200000,0.00800000,0.01500000,0.04000000
BUILDING,C1LMEAN,0.20000000,20.00000000,0.45000000,0.97500000,0.79500000,1.50000000,1.38000000,3.75000000,0.12000000,0.09000000,0.09000000,0.07000000,0.00600000,0.00900000,0.01300000,0.04000000
BUILDING,C1LSOFT,0.20000000,20.00000000,0.45000000,1.00000000,0.79000000,1.50000000,1.25000000,3.50000000,0.12000000,0.09000000,0.09000000,0.07000000,0.00600000,0.00900000,0.01300000,0.04000000
BUILDING,C1LNOSOFT,0.20000000,20.00000000,0.45000000,0.95000000,0.80000000,1.50000000,1.50000000,4.00000000,0.12000000,0.09000000,0.09000000,0.07000000,0.00600000,0.00900000,0.01300000,0.04000000
BUILDING,C1MMEAN,0.10000000,50.00000000,0.85000000,0.95000000,0.60000000,1.50000000,1.38000000,2.50000000,0.10500000,0.08000000,0.08000000,0.07000000,0.00500000,0.00700000,0.01000000,0.03000000
BUILDING,C1MSOFT,0.10000000,50.00000000,0.85000000,1.00000000,0.55000000,1.50000000,1.25000000,2.00000000,0.10500000,0.08000000,0.08000000,0.07000000,0.00500000,0.00700000,0.01000000,0.03000000
BUILDING,C1MNOSOFT,0.10000000,50.00000000,0.85000000,0.90000000,0.65000000,1.50000000,1.50000000,3.00000000,0.10500000,0.08000000,0.08000000,0.07000000,0.00500000,0.00700000,0.01000000,0.03000000
BUILDING,C1HMEAN,0.05000000,120.00000000,1.60000000,0.92500000,0.55000000,1.50000000,1.38000000,2.00000000,0.09500000,0.07000000,0.07000000,0.07000000,0.00400000,0.00500000,0.00700000,0.02000000
BUILDING,C1HSOFT,0.05000000,120.00000000,1.60000000,1.00000000,0.50000000,1.50000000,1.25000000,1.50000000,0.09500000,0.07000000,0.07000000,0.07000000,0.00400000,0.00500000,0.00700000,0.02000000
BUILDING,C1HNOSOFT,0.05000000,120.00000000,1.60000000,0.85000000,0.60000000,1.50000000,1.50000000,2.50000000,0.09500000,0.07000000,0.07000000,0.07000000,0.00400000,0.00500000,0.00700000,0.02000000
BUILDING,URMLMEAN,0.15000000,15.00000000,0.15000000,0.75000000,0.75000000,1.50000000,2.00000000,2.00000000,0.00100000,0.00100000,0.00100000,0.05000000,0.00050000,0.00080000,0.00120000,0.00200000
BUILDING,URMLTILE,0.15000000,15.00000000,0.15000000,0.75000000,0.75000000,1.50000000,2.00000000,2.00000000,0.00100000,0.00100000,0.00100000,0.05000000,0.00050000,0.00080000,0.00120000,0.00200000
BUILDING,URMLMETAL,0.20000000,15.00000000,0.13000000,0.75000000,0.75000000,1.50000000,2.00000000,2.00000000,0.00100000,0.00100000,0.00100000,0.05000000,0.00050000,0.00080000,0.00120000,0.00200000
BUILDING,URMMMEAN,0.10000000,35.00000000,0.28000000,0.75000000,0.75000000,1.50000000,2.00000000,2.00000000,0.00100000,0.00100000,0.00100000,0.05000000,0.00050000,0.00080000,0.00120000,0.00200000
BUILDING,URMMTILE,0.10000000,35.00000000,0.28000000,0.75000000,0.75000000,1.50000000,2.00000000,2.00000000,0.00100000,0.00100000,0.00100000,0.05000000,0.00050000,0.00080000,0.00120000,0.00200000
BUILDING,URMMMETAL,0.15000000,35.00000000,0.23000000,0.75000000,0.75000000,1.50000000,2.00000000,2.00000000,0.00100000,0.00100000,0.00100000,0.05000000,0.00050000,0.00080000,0.00120000,0.00200000
BRIDGE,BRIDGE1,0.00000000,0.25000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.40000000,0.50000000,0.70000000,0.90000000
BRIDGE,BRIDGE2,0.00000000,0.25000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60000000,0.90000000,1.10000000,1.70000000
BRIDGE,BRIDGE3,1.00000000,0.25000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80000000,1.00000000,1.20000000,1.70000000
BRIDGE,BRIDGE4,0.00000000,0.25000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25000000,0.35000000,0.45000000,0.70000000
BRIDGE,BRIDGE5,0.00000000,0.33000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.35000000,0.45000000,0.55000000,0.80000000
BRIDGE,BRIDGE6,1.00000000,0.33000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60000000,0.90000000,1.10000000,1.50000000
BRIDGE,BRIDGE7,0.00000000,0.09000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25000000,0.35000000,0.45000000,0.70000000
BRIDGE,BRIDGE8,1.00000000,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75000000,0.75000000,0.75000000,1.10000000
BRIDGE,BRIDGE9,0.00000000,0.25000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25000000,0.35000000,0.45000000,0.70000000
BRIDGE,BRIDGE10,0.00000000,0.33000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.35000000,0.45000000,0.55000000,0.80000000
BRIDGE,BRIDGE11,1.00000000,0.33000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60000000,0.90000000,1.10000000,1.50000000
BRIDGE,BRIDGE12,0.00000000,0.20000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25000000,0.35000000,0.45000000,0.70000000
BRIDGE,BRIDGE13,1.00000000,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75000000,0.75000000,0.75000000,1.10000000
BRIDGE,BRIDGE14,0.00000000,0.25000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80000000,1.00000000,1.20000000,1.70000000
BUILDING,ASK_TREVOR,0.15000000,15.00000000,0.15000000,0.75000000,0.75000000,1.50000000,2.00000000,2.00000000,0.00100000,0.00100000,0.00100000,0.05000000,0.00030000,0.00040000,0.00080000,0.00120000
