structure_class,structure_classification,design_strength,design_strength_sigma,height,natural_elastic_period,natural_elastic_period_sigma,fraction_in_first_mode,fraction_in_first_mode_sigma,height_to_displacement,height_to_displacement_sigma,yield_to_design,yield_to_design_sigma,ultimate_to_yield,ultimate_to_yield_sigma,ductility,ductility_sigma,damping_s,damping_m,damping_l,damping_Be,structural_damage_slight,structural_damage_moderate,structural_damage_extreme,structural_damage_complete
BUILDING,W1,0.2,0.02,14,0.2,0.02,0.8,0.08,0.8,0.08,1.5,0.15,2.5,0.25,4,1.2,0.01,0.01,0.01,0.15,0.001,0.008,0.015,0.03
BUILDING,W2,0.05,0.015,24,0.4,0.04,0.75,0.075,0.75,0.075,1.5,0.15,2.5,0.25,6,1.8,0.4,0.2,0,0.15,0.0032,0.0079,0.0245,0.06
BUILDING,S1L,0.033,0.0099,24,0.5,0.05,0.8,0.08,0.75,0.075,1.5,0.15,3,0.3,5,1.5,0.4,0.2,0,0.1,0.0048,0.0076,0.0162,0.04
BUILDING,S1M,0.025,0.0075,60,1.08,0.108,0.8,0.08,0.75,0.075,1.25,0.125,3,0.3,3.3,0.99,0.4,0.2,0,0.1,0.0032,0.0051,0.0108,0.0267
BUILDING,S1H,0.017,0.0051,156,2.21,0.221,0.75,0.075,0.6,0.06,1.1,0.11,3,0.3,2.5,0.75,0.4,0.2,0,0.1,0.0024,0.0038,0.0081,0.02
BUILDING,S2L,0.05,0.015,24,0.4,0.04,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,5,1.5,0.4,0.2,0,0.1,0.004,0.0064,0.016,0.04
BUILDING,S2M,0.05,0.015,60,0.86,0.086,0.75,0.075,0.75,0.075,1.25,0.125,2,0.2,3.3,0.99,0.4,0.2,0,0.1,0.0027,0.0043,0.0107,0.0267
BUILDING,S2H,0.038,0.0114,156,1.77,0.177,0.65,0.065,0.6,0.06,1.1,0.11,2,0.2,2.5,0.75,0.4,0.2,0,0.1,0.002,0.0032,0.0008,0.02
BUILDING,S3,0.05,0.015,15,0.4,0.04,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,5,1.5,0.4,0.2,0,0.1,0.0032,0.0051,0.0128,0.035
BUILDING,S4L,0.04,0.012,24,0.35,0.035,0.75,0.075,0.75,0.075,1.5,0.15,2.25,0.225,5,1.5,0.4,0.2,0,0.1,0.0032,0.0051,0.0128,0.035
BUILDING,S4M,0.04,0.012,60,0.65,0.065,0.75,0.075,0.75,0.075,1.25,0.125,2.25,0.225,3.3,0.99,0.4,0.2,0,0.1,0.0021,0.0034,0.0086,0.0233
BUILDING,S4H,0.03,0.009,156,1.32,0.132,0.65,0.065,0.6,0.06,1.1,0.11,2.25,0.225,2.5,0.75,0.4,0.2,0,0.1,0.0016,0.0026,0.0064,0.0175
BUILDING,S5L,0.05,0.015,24,0.35,0.035,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,5,1.5,0.4,0.2,0,0.1,0.0024,0.0048,0.012,0.028
BUILDING,S5M,0.05,0.015,60,0.65,0.065,0.75,0.075,0.75,0.075,1.25,0.125,2,0.2,3.3,0.99,0.4,0.2,0,0.1,0.0016,0.0032,0.008,0.0187
BUILDING,S5H,0.038,0.0114,156,1.32,0.132,0.65,0.065,0.6,0.06,1.1,0.11,2,0.2,2.5,0.75,0.4,0.2,0,0.1,0.0012,0.0024,0.006,0.014
BUILDING,C1L,0.1,0.03,20,0.4,0.04,0.8,0.08,0.75,0.075,1.5,0.15,1.5,0.15,2,0.6,0.01,0.01,0.01,0.07,0.004,0.0045,0.01,0.03
BUILDING,C1M,0.1,0.03,50,0.75,0.075,0.8,0.08,0.75,0.075,1.5,0.15,1.5,0.15,2,0.6,0.01,0.01,0.01,0.07,0.004,0.0045,0.01,0.03
BUILDING,C1H,0.1,0.03,120,1.45,0.145,0.75,0.075,0.6,0.06,1.5,0.15,1.5,0.15,2,0.6,0.01,0.01,0.01,0.07,0.004,0.0045,0.01,0.03
BUILDING,C2L,0.05,0.015,20,0.35,0.035,0.75,0.075,0.75,0.075,1.5,0.15,2.5,0.25,5,1.5,0.4,0.2,0,0.07,0.0032,0.0061,0.0158,0.04
BUILDING,C2M,0.05,0.015,50,0.56,0.056,0.75,0.075,0.75,0.075,1.25,0.125,2.5,0.25,3.3,0.99,0.4,0.2,0,0.07,0.0021,0.0041,0.0105,0.0267
BUILDING,C2H,0.038,0.0114,120,1.09,0.109,0.65,0.065,0.6,0.06,1.1,0.11,2.5,0.25,2.5,0.75,0.4,0.2,0,0.07,0.0016,0.0031,0.0079,0.02
BUILDING,C3L,0.05,0.015,20,0.35,0.035,0.75,0.075,0.75,0.075,1.5,0.15,2.25,0.225,5,1.5,0.4,0.2,0,0.07,0.0024,0.0048,0.012,0.028
BUILDING,C3M,0.05,0.015,50,0.56,0.056,0.75,0.075,0.75,0.075,1.25,0.125,2.25,0.225,3.3,0.99,0.4,0.2,0,0.07,0.0016,0.0032,0.008,0.0187
BUILDING,C3H,0.038,0.0114,120,1.09,0.109,0.65,0.065,0.6,0.06,1.1,0.11,2.25,0.225,2.5,0.75,0.4,0.2,0,0.07,0.0012,0.0024,0.006,0.014
BUILDING,PC1,0.05,0.015,15,0.35,0.035,0.5,0.05,0.75,0.075,1.5,0.15,2,0.2,5,1.5,0.4,0.2,0,0.05,0.0032,0.0051,0.0128,0.035
BUILDING,PC2L,0.05,0.015,20,0.35,0.035,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,5,1.5,0.4,0.2,0,0.05,0.0032,0.0051,0.0128,0.035
BUILDING,PC2M,0.05,0.015,50,0.56,0.056,0.75,0.075,0.75,0.075,1.25,0.125,2,0.2,3.3,0.99,0.4,0.2,0,0.05,0.0021,0.0034,0.0086,0.0233
BUILDING,PC2H,0.038,0.0114,120,1.09,0.109,0.65,0.065,0.6,0.06,1.1,0.11,2,0.2,2.5,0.75,0.4,0.2,0,0.05,0.0016,0.0026,0.0064,0.0175
BUILDING,RM1L,0.067,0.0201,20,0.35,0.035,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,5,1.5,0.4,0.2,0,0.07,0.0032,0.0051,0.0128,0.035
BUILDING,RM1M,0.067,0.0201,50,0.56,0.056,0.75,0.075,0.75,0.075,1.25,0.125,2,0.2,3.3,0.99,0.4,0.2,0,0.07,0.0021,0.0034,0.0086,0.0233
BUILDING,RM2L,0.067,0.0201,20,0.35,0.035,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,5,1.5,0.4,0.2,0,0.07,0.0032,0.0051,0.0128,0.035
BUILDING,RM2M,0.067,0.0201,50,0.56,0.056,0.75,0.075,0.75,0.075,1.25,0.125,2,0.2,3.3,0.99,0.4,0.2,0,0.07,0.0021,0.0034,0.0086,0.0233
BUILDING,RM2H,0.05,0.015,120,1.09,0.109,0.65,0.065,0.6,0.06,1.1,0.11,2,0.2,2.5,0.75,0.4,0.2,0,0.07,0.0016,0.0026,0.0064,0.0175
BUILDING,URML,0.15,0.045,15,0.1,0.01,0.75,0.075,0.75,0.075,1,0.1,1.5,0.15,1.5,0.45,0.01,0.01,0.01,0.05,0.001,0.008,0.015,0.03
BUILDING,URMM,0.15,0.045,35,0.3,0.03,0.75,0.075,0.6,0.06,1.25,0.125,1.5,0.15,2,0.6,0.01,0.01,0.01,0.05,0.001,0.008,0.015,0.03
BUILDING,MH,0.1,0.03,10,0.35,0.035,1,0.1,1,0.1,1.5,0.15,2,0.2,6,1.8,0.6,0.3,0.1,0.05,0.0032,0.0064,0.0192,0.056
BUILDING,W1MEAN,0.077,0.0231,13,0.275,0.0275,0.9,0.09,0.7,0.07,1.75,0.175,2,0.2,7,2.1,0.001,0.001,0.001,0.08,0.001,0.004,0.008,0.015
BUILDING,W1BVTILE,0.063,0.0189,13,0.32,0.032,0.9,0.09,0.7,0.07,1.75,0.175,2,0.2,7,2.1,0.001,0.001,0.001,0.08,0.0033,0.0063,0.015,0.031
BUILDING,W1BVMETAL,0.082,0.0246,13,0.28,0.028,0.9,0.09,0.7,0.07,1.75,0.175,2,0.2,7,2.1,0.001,0.001,0.001,0.08,0.0033,0.0063,0.015,0.031
BUILDING,W1TIMBERTILE,0.069,0.0207,13,0.3,0.03,0.9,0.09,0.7,0.07,1.75,0.175,2,0.2,7,2.1,0.001,0.001,0.001,0.08,0.0033,0.0063,0.015,0.031
BUILDING,W1TIMBERMETAL,0.094,0.0282,13,0.26,0.026,0.9,0.09,0.7,0.07,1.75,0.175,2,0.2,7,2.1,0.001,0.001,0.001,0.08,0.0033,0.0063,0.015,0.031
BUILDING,C1LMEAN,0.2,0.06,20,0.45,0.045,0.975,0.0975,0.795,0.0795,1.5,0.15,1.38,0.138,3.75,1.125,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1LSOFT,0.2,0.06,20,0.45,0.045,1,0.1,0.79,0.079,1.5,0.15,1.25,0.125,3.5,1.05,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1LNOSOFT,0.2,0.06,20,0.45,0.045,0.95,0.095,0.8,0.08,1.5,0.15,1.5,0.15,4,1.2,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1MMEAN,0.1,0.03,50,0.85,0.085,0.95,0.095,0.6,0.06,1.5,0.15,1.38,0.138,2.5,0.75,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1MSOFT,0.1,0.03,50,0.85,0.085,1,0.1,0.55,0.055,1.5,0.15,1.25,0.125,2,0.6,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1MNOSOFT,0.1,0.03,50,0.85,0.085,0.9,0.09,0.65,0.065,1.5,0.15,1.5,0.15,3,0.9,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1HMEAN,0.05,0.015,120,1.6,0.16,0.925,0.0925,0.55,0.055,1.5,0.15,1.38,0.138,2,0.6,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,C1HSOFT,0.05,0.015,120,1.6,0.16,1,0.1,0.5,0.05,1.5,0.15,1.25,0.125,1.5,0.45,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,C1HNOSOFT,0.05,0.015,120,1.6,0.16,0.85,0.085,0.6,0.06,1.5,0.15,1.5,0.15,2.5,0.75,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,URMLMEAN,0.15,0.045,15,0.15,0.015,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMLTILE,0.15,0.045,15,0.15,0.015,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMLMETAL,0.2,0.06,15,0.13,0.013,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMMEAN,0.1,0.03,35,0.28,0.028,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMTILE,0.1,0.03,35,0.28,0.028,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMMETAL,0.15,0.045,35,0.23,0.023,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BRIDGE,BRIDGE1,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.9
BRIDGE,BRIDGE2,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9,1.1,1.7
BRIDGE,BRIDGE3,1,0.3,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,1.2,1.7
BRIDGE,BRIDGE4,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE5,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.45,0.55,0.8
BRIDGE,BRIDGE6,1,0.3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9,1.1,1.5
BRIDGE,BRIDGE7,0,0,0.09,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE8,1,0.3,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1.1
BRIDGE,BRIDGE9,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE10,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.45,0.55,0.8
BRIDGE,BRIDGE11,1,0.3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9,1.1,1.5
BRIDGE,BRIDGE12,0,0,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE13,1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1.1
BRIDGE,BRIDGE14,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,1.2,1.7
BUILDING,ASK_TREVOR,0.15,0.045,15,0.15,0.015,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0003,0.0004,0.0008,0.0012
